raceId,driverId,grid,finish,statusId,dnf,num_stops,first_stop_lap,avg_stop_time,total_stop_time,year,position_improved,position_change
844,18,6,6,1,0,3.0,13.0,21.808000000000003,65.424,2011,0,0
844,2,9,7,1,0,4.0,10.0,21.74375,86.975,2011,1,2
844,808,7,8,1,0,4.0,8.0,21.56125,86.245,2011,0,-1
844,67,16,9,1,0,3.0,9.0,21.976333333333333,65.929,2011,1,7
844,155,24,10,1,0,3.0,13.0,22.576999999999998,67.731,2011,1,14
844,13,10,11,1,0,4.0,9.0,23.375,93.5,2011,0,-1
844,30,8,12,1,0,4.0,2.0,23.01625,92.065,2011,0,-4
844,16,12,13,11,1,3.0,10.0,21.246333333333336,63.739000000000004,2011,0,-1
844,815,15,14,11,1,4.0,1.0,24.06125,96.245,2011,1,1
844,22,11,15,11,1,3.0,10.0,22.423999999999996,67.27199999999999,2011,0,-4
844,153,17,16,11,1,4.0,13.0,22.114,88.456,2011,1,1
844,813,14,17,11,1,4.0,11.0,20.547,82.188,2011,0,-3
844,15,19,18,11,1,3.0,13.0,22.715666666666664,68.14699999999999,2011,1,1
844,5,18,19,12,1,3.0,15.0,22.533666666666665,67.601,2011,0,-1
844,816,23,20,12,1,2.0,16.0,23.808,47.616,2011,1,3
844,39,22,21,13,1,3.0,14.0,25.596333333333334,76.789,2011,1,1
844,24,20,22,15,1,4.0,15.0,37.49325,149.973,2011,0,-2
844,814,13,23,31,1,4.0,11.0,20.99875,83.995,2011,0,-10
845,20,2,1,1,0,4.0,9.0,20.2145,80.858,2011,1,1
845,1,3,2,1,0,4.0,11.0,20.36425,81.457,2011,1,1
845,18,5,3,1,0,3.0,14.0,20.295,60.885000000000005,2011,1,2
845,17,1,4,1,0,4.0,10.0,20.30575,81.223,2011,0,-3
845,4,4,5,11,1,4.0,10.0,20.48075,81.923,2011,0,-1
845,30,10,6,11,1,3.0,10.0,20.340666666666667,61.022,2011,1,4
845,3,7,7,11,1,3.0,11.0,20.191999999999997,60.57599999999999,2011,0,0
845,2,24,8,11,1,3.0,21.0,21.357,64.071,2011,1,16
845,815,12,9,11,1,3.0,7.0,22.188,66.564,2011,1,3
845,155,14,10,11,1,3.0,1.0,22.16633333333333,66.499,2011,1,4
845,808,6,11,11,1,3.0,11.0,22.608999999999998,67.827,2011,0,-5
845,814,16,12,11,1,3.0,15.0,20.256333333333334,60.769000000000005,2011,1,4
845,16,17,13,11,1,3.0,13.0,21.423333333333332,64.27,2011,1,4
845,67,11,14,11,1,3.0,9.0,22.127333333333336,66.382,2011,0,-3
845,813,9,15,11,1,4.0,8.0,22.79025,91.161,2011,0,-6
845,153,13,16,12,1,4.0,11.0,21.44375,85.775,2011,0,-3
845,22,19,17,12,1,4.0,11.0,23.11225,92.449,2011,1,2
845,15,18,18,12,1,3.0,15.0,22.362666666666666,67.088,2011,0,0
845,10,20,19,13,1,3.0,16.0,21.84866666666667,65.546,2011,1,1
845,816,23,20,14,1,3.0,17.0,22.622,67.866,2011,1,3
845,39,22,21,15,1,3.0,14.0,24.529666666666667,73.589,2011,1,1
845,13,8,22,6,1,3.0,11.0,21.618,64.854,2011,0,-14
845,5,15,23,3,1,3.0,16.0,21.631333333333334,64.894,2011,0,-8
845,24,21,24,6,1,1.0,16.0,23.157,23.157,2011,0,-3
846,20,1,1,1,0,1.0,16.0,28.536,28.536,2011,0,0
846,4,4,2,1,0,2.0,17.0,28.367,56.734,2011,1,2
846,18,2,3,1,0,3.0,15.0,25.457000000000004,76.37100000000001,2011,0,-1
846,17,3,4,1,0,2.0,16.0,32.001999999999995,64.00399999999999,2011,0,-1
846,155,12,5,1,0,1.0,34.0,28.642,28.642,2011,1,7
846,1,9,6,1,0,3.0,22.0,25.923000000000002,77.769,2011,1,3
846,16,14,7,11,1,2.0,34.0,26.458,52.916,2011,1,7
846,2,15,8,11,1,2.0,33.0,26.066,52.132,2011,1,7
846,22,11,9,11,1,2.0,32.0,25.798000000000002,51.596000000000004,2011,1,2
846,67,16,10,11,1,2.0,33.0,25.559,51.118,2011,1,6
846,3,7,11,12,1,3.0,15.0,25.205,75.615,2011,0,-4
846,814,13,12,12,1,3.0,20.0,30.518666666666665,91.556,2011,1,1
846,15,18,13,12,1,2.0,24.0,25.83,51.66,2011,1,5
846,5,17,14,12,1,2.0,19.0,26.177500000000002,52.355000000000004,2011,1,3
