strategy,success_rate,avg_position_change,log_prob,svm_prob
Aggressive Multi-Stop,0.8067052980132451,3.3443708609271523,0.71484189680295,0.7113244351291199
Early Pit Strategy,0.2729218694256154,-1.840884766321798,0.347499169270847,0.3492326584255419
Outlier (Anomalous),0.59375,3.21875,0.46677740495037573,0.49395035374234003
Outlier (DNF),0.2980132450331126,-4.947019867549669,0.46436219238127835,0.45689616401853883
