raceId,driverId,grid_cluster,finish_cluster,statusId_cluster,dnf_cluster,num_stops_cluster,first_stop_lap_cluster,avg_stop_time_cluster,total_stop_time_cluster,year_cluster,position_improved_cluster,position_change_cluster,race_length_proxy_cluster,pit_timing_ratio_cluster,avg_time_per_stop_cluster,dbscan_label,cluster,strategy,grid_class,finish_class,statusId_class,dnf_class,num_stops_class,first_stop_lap_class,avg_stop_time_class,total_stop_time_class,year_class,position_improved_class,position_change_class,race_length_proxy_class,pit_timing_ratio_class,avg_time_per_stop_class,actual,log_prob,log_pred,svm_prob,svm_pred,model_agreement
841,5,19,18,47,1,1.0,17.0,24.865,24.865,2011,1,1,28.0,0.6071428571428571,24.865,2,1,Aggressive Multi-Stop,19,18,47,1,1.0,17.0,24.865,24.865,2011,1,1,28.0,0.6071428571428571,24.865,1,0.8347206696593029,1,0.7726211558976993,1,1
841,30,11,19,4,1,2.0,1.0,24.5045,49.009,2011,0,-8,28.0,0.0357142857142857,24.5045,0,0,Early Pit Strategy,11,19,4,1,2.0,1.0,24.5045,49.009,2011,0,-8,28.0,0.0357142857142857,24.5045,0,0.3522540386232498,0,0.347101267734783,0,1
841,155,9,21,2,1,2.0,16.0,24.128,48.256,2011,0,-12,28.0,0.5714285714285714,24.128,0,0,Early Pit Strategy,9,21,2,1,2.0,16.0,24.128,48.256,2011,0,-12,28.0,0.5714285714285714,24.128,0,0.4870504948909469,0,0.5303249723327095,1,0
841,815,13,22,2,1,1.0,23.0,23.438,23.438,2011,0,-9,28.0,0.8214285714285714,23.438,2,0,Early Pit Strategy,13,22,2,1,1.0,23.0,23.438,23.438,2011,0,-9,28.0,0.8214285714285714,23.438,0,0.7410495238752807,1,0.7856685963316017,1,1
842,20,1,1,1,0,3.0,13.0,22.40833333333333,67.225,2011,0,0,22.0,0.5909090909090909,22.40833333333333,1,0,Early Pit Strategy,1,1,1,0,3.0,13.0,22.40833333333333,67.225,2011,0,0,22.0,0.5909090909090909,22.40833333333333,0,0.221352642859624,0,0.2427329755251263,0,1
842,18,4,2,1,0,3.0,13.0,22.451333333333334,67.354,2011,1,2,22.0,0.5909090909090909,22.451333333333334,1,0,Early Pit Strategy,4,2,1,0,3.0,13.0,22.451333333333334,67.354,2011,1,2,22.0,0.5909090909090909,22.451333333333334,1,0.3193912834646208,0,0.289642694107319,0,1
842,2,6,3,1,0,3.0,13.0,23.241,69.723,2011,1,3,22.0,0.5909090909090909,23.241,1,0,Early Pit Strategy,6,3,1,0,3.0,13.0,23.241,69.723,2011,1,3,22.0,0.5909090909090909,23.241,1,0.3868282294473605,0,0.3473550898304992,0,1
842,17,3,4,1,0,4.0,10.0,22.19825,88.793,2011,0,-1,22.0,0.4545454545454545,22.19825,3,0,Early Pit Strategy,3,4,1,0,4.0,10.0,22.19825,88.793,2011,0,-1,22.0,0.4545454545454545,22.19825,0,0.2445887387489288,0,0.223551290944492,0,1
842,13,7,5,1,0,3.0,13.0,24.886,74.658,2011,1,2,22.0,0.5909090909090909,24.886,1,0,Early Pit Strategy,7,5,1,0,3.0,13.0,24.886,74.658,2011,1,2,22.0,0.5909090909090909,24.886,1,0.4072020994210591,0,0.3579949300796025,0,1
842,4,5,6,1,0,4.0,14.0,24.51,98.04,2011,0,-1,22.0,0.6363636363636364,24.51,3,0,Early Pit Strategy,5,6,1,0,4.0,14.0,24.51,98.04,2011,0,-1,22.0,0.6363636363636364,24.51,0,0.3549015324914089,0,0.2331724000878469,0,1
